Input voltage @ V,Load @ A,Input current @ A,Output voltage @ V,Coil temperature after 5 minutes @ °C,Chip temperature after 5 minutes @ °C,Scope image,Noise - Vpp @ mV
14,0.1,0.038,5.037,22,22,v0.2-5V-1.png,80
14,0.5,0.195,5.031,23,23,v0.2-5V-2.png,60
14,1,0.38,5.026,27,25,v0.2-5V-3.png,70
14,2,0.763,5.018,40,33,v0.2-5V-4.png,100
14,3,1.169,5.015,46,37,v0.2-5V-5.png,120
14,4,1.61,4.99,70,53,v0.2-5V-6.png,90
8.4,0.1,0.059,5.038,22,22,v0.2-5V-7.png,60
8.4,0.5,0.309,5.034,22,23,v0.2-5V-8.png,70
8.4,1,0.621,5.033,23,23,v0.2-5V-9.png,100
8.4,2,1.256,5.035,32,28,v0.2-5V-10.png,120
8.4,3,1.922,5.04,37,30,v0.2-5V-11.png,130
8.4,4,2.65,5.05,49,40,v0.2-5V-12.png,150
